Row_Id,Order Date,Year,Month,Ship Date,Delivery Time,Ship Mode,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12,6/9/2011,2011,Jun,6/14/2011,5,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,$911.42 ,4,20.00%,$68.36 
13,4/16/2014,2014,Apr,4/21/2014,5,Standard Class,Andrew Allen,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,$15.55 ,3,20.00%,$5.44 
14,12/6/2013,2013,Dec,12/11/2013,5,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,$407.98 ,3,20.00%,$132.59 
15,11/22/2012,2012,Nov,11/26/2012,4,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",$68.81 ,5,80.00%,($123.86)
16,11/22/2012,2012,Nov,11/26/2012,4,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,$2.54 ,3,80.00%,($3.82)
17,11/11/2011,2011,Nov,11/18/2011,7,Standard Class,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$665.88 ,6,0.00%,$13.32 
18,5/13/2011,2011,May,5/15/2011,2,Second Class,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,$55.50 ,2,0.00%,$9.99 
19,8/27/2011,2011,Aug,9/1/2011,5,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Art,Newell 341,$8.56 ,2,0.00%,$2.48 
20,8/27/2011,2011,Aug,9/1/2011,5,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Technology,Phones,Cisco SPA 501G IP Phone,$213.48 ,3,20.00%,$16.01 
21,8/27/2011,2011,Aug,9/1/2011,5,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",$22.72 ,4,20.00%,$7.38 
22,12/10/2013,2013,Dec,12/14/2013,4,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,$19.46 ,7,0.00%,$5.06 
23,12/10/2013,2013,Dec,12/14/2013,4,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",$60.34 ,7,0.00%,$15.69 
24,7/17/2014,2014,Jul,7/19/2014,2,Second Class,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",$71.37 ,2,30.00%,($1.02)
25,9/25/2012,2012,Sep,9/30/2012,5,Standard Class,Emily Burns,Consumer,United States,Orem,Utah,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"$1,044.63 ",3,0.00%,$240.26 
26,1/16/2013,2013,Jan,1/20/2013,4,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,$11.65 ,2,20.00%,$4.22 
27,1/16/2013,2013,Jan,1/20/2013,4,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$90.57 ,3,0.00%,$11.77 
28,9/17/2012,2012,Sep,9/21/2012,4,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$3,083.43 ",7,50.00%,"($1,665.05)"
29,9/17/2012,2012,Sep,9/21/2012,4,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,$9.62 ,2,70.00%,($7.05)
30,9/17/2012,2012,Sep,9/21/2012,4,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock,$124.20 ,3,20.00%,$15.53 
31,9/17/2012,2012,Sep,9/21/2012,4,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,$3.26 ,2,20.00%,$1.10 
32,9/17/2012,2012,Sep,9/21/2012,4,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$86.30 ,6,20.00%,$9.71 
33,9/17/2012,2012,Sep,9/21/2012,4,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",$6.86 ,6,70.00%,($5.72)
34,9/17/2012,2012,Sep,9/21/2012,4,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,$15.76 ,2,20.00%,$3.55 
35,10/20/2014,2014,Oct,10/24/2014,4,Second Class,Matt Abelman,Home Office,United States,Houston,Texas,Central,Office Supplies,Paper,Staples,$29.47 ,3,20.00%,$9.95 
36,12/9/2013,2013,Dec,12/11/2013,2,First Class,Gene Hale,Corporate,United States,Richardson,Texas,Central,Technology,Phones,GE 30524EE4,"$1,097.54 ",7,20.00%,$123.47 
37,12/9/2013,2013,Dec,12/11/2013,2,First Class,Gene Hale,Corporate,United States,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",$190.92 ,5,60.00%,($147.96)
38,12/27/2012,2012,Dec,12/31/2012,4,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Office Supplies,Envelopes,#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes,$113.33 ,9,20.00%,$35.42 
39,12/27/2012,2012,Dec,12/31/2012,4,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",$532.40 ,3,32.00%,($46.98)
40,12/27/2012,2012,Dec,12/31/2012,4,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",$212.06 ,3,30.00%,($15.15)
41,12/27/2012,2012,Dec,12/31/2012,4,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,$371.17 ,4,20.00%,$41.76 
42,9/11/2014,2014,Sep,9/16/2014,5,Standard Class,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,$147.17 ,4,20.00%,$16.56 
43,7/18/2013,2013,Jul,7/23/2013,5,Standard Class,Ruben Ausman,Corporate,United States,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",$77.88 ,2,0.00%,$3.89 
44,9/20/2014,2014,Sep,9/24/2014,4,Standard Class,Erin Smith,Corporate,United States,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$95.62 ,2,20.00%,$9.56 
45,3/12/2013,2013,Mar,3/14/2013,2,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$45.98 ,2,0.00%,$19.77 
46,3/12/2013,2013,Mar,3/14/2013,2,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,$17.46 ,2,0.00%,$8.21 
47,10/20/2011,2011,Oct,10/25/2011,5,Second Class,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$211.96 ,4,0.00%,$8.48 
48,6/21/2013,2013,Jun,6/26/2013,5,Standard Class,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$45.00 ,3,0.00%,$4.95 
49,6/21/2013,2013,Jun,6/26/2013,5,Standard Class,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$21.80 ,2,0.00%,$6.10 
50,4/18/2012,2012,Apr,4/22/2012,4,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$38.22 ,6,0.00%,$17.96 
51,4/18/2012,2012,Apr,4/22/2012,4,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,$75.18 ,6,0.00%,$35.33 
52,4/18/2012,2012,Apr,4/22/2012,4,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,$6.16 ,2,0.00%,$2.96 
53,4/18/2012,2012,Apr,4/22/2012,4,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",$89.99 ,1,0.00%,$17.10 
54,12/12/2013,2013,Dec,12/18/2013,6,Standard Class,Janet Molinari,Corporate,United States,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,$15.26 ,7,0.00%,$6.26 
55,12/12/2013,2013,Dec,12/18/2013,6,Standard Class,Janet Molinari,Corporate,United States,New York City,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,"$1,029.95 ",5,0.00%,$298.69 
56,6/18/2013,2013,Jun,6/19/2013,1,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,$208.56 ,6,0.00%,$52.14 
57,6/18/2013,2013,Jun,6/19/2013,1,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,Xerox 232,$32.40 ,5,0.00%,$15.55 
58,6/18/2013,2013,Jun,6/19/2013,1,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,$319.41 ,5,10.00%,$7.10 
59,6/18/2013,2013,Jun,6/19/2013,1,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",$14.56 ,2,0.00%,$6.99 
60,6/18/2013,2013,Jun,6/19/2013,1,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$30.00 ,2,0.00%,$3.30 
61,6/18/2013,2013,Jun,6/19/2013,1,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,$48.48 ,4,20.00%,$16.36 
62,6/18/2013,2013,Jun,6/19/2013,1,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,$1.68 ,1,0.00%,$0.84 
63,11/24/2012,2012,Nov,11/30/2012,6,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$13.98 ,2,0.00%,$6.15 
64,11/24/2012,2012,Nov,11/30/2012,6,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",$25.82 ,6,20.00%,$9.36 
65,11/24/2012,2012,Nov,11/30/2012,6,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,$146.73 ,3,0.00%,$68.96 
66,11/24/2012,2012,Nov,11/30/2012,6,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,$79.76 ,4,0.00%,$22.33 
67,4/30/2012,2012,Apr,5/5/2012,5,Standard Class,Paul Stevenson,Home Office,United States,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",$213.12 ,5,30.00%,($15.22)
68,12/5/2011,2011,Dec,12/10/2011,5,Standard Class,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","$1,113.02 ",8,20.00%,$111.30 
69,12/5/2011,2011,Dec,12/10/2011,5,Standard Class,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Technology,Phones,netTALK DUO VoIP Telephone Service,$167.97 ,4,20.00%,$62.99 
70,6/5/2013,2013,Jun,6/7/2013,2,First Class,Karen Daniels,Consumer,United States,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$75.88 ,2,0.00%,$35.66 
71,9/19/2013,2013,Sep,9/24/2013,5,Standard Class,Henry MacAllister,Consumer,United States,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,$4.62 ,1,20.00%,$1.73 
72,9/15/2014,2014,Sep,9/18/2014,3,Second Class,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$19.05 ,3,0.00%,$8.76 
73,4/26/2012,2012,Apr,5/2/2012,6,Standard Class,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Manager's Chair,$831.94 ,8,20.00%,($114.39)
74,4/26/2012,2012,Apr,5/2/2012,6,Standard Class,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",$97.04 ,2,20.00%,$1.21 
75,4/26/2012,2012,Apr,5/2/2012,6,Standard Class,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,$72.78 ,1,20.00%,($18.20)
76,12/10/2014,2014,Dec,12/12/2014,2,First Class,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,$1.25 ,3,80.00%,($1.93)
77,12/10/2014,2014,Dec,12/12/2014,2,First Class,Ken Brennan,Corporate,United States,Houston,Texas,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",$9.71 ,3,60.00%,($5.82)
78,12/10/2014,2014,Dec,12/12/2014,2,First Class,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",$27.24 ,3,20.00%,$2.72 
79,11/26/2011,2011,Nov,12/1/2011,5,Second Class,Joel Eaton,Consumer,United States,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",$19.30 ,5,60.00%,($14.48)
80,6/13/2013,2013,Jun,6/16/2013,3,First Class,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,Appliances,1.7 Cubic Foot Compact "Cube" Office Refrigerators,$208.16 ,1,0.00%,$56.20 
81,6/13/2013,2013,Jun,6/16/2013,3,First Class,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,$16.74 ,3,0.00%,$8.04 
82,10/12/2011,2011,Oct,10/16/2011,4,Standard Class,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$14.90 ,5,0.00%,$4.17 
83,10/12/2011,2011,Oct,10/16/2011,4,Standard Class,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",$21.39 ,1,0.00%,$6.20 
84,9/3/2012,2012,Sep,9/8/2012,5,Standard Class,Julie Creighton,Corporate,United States,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,$200.98 ,7,20.00%,$62.81 
85,11/14/2014,2014,Nov,11/17/2014,3,First Class,Christopher Schild,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,$230.38 ,3,20.00%,($48.95)
86,5/29/2014,2014,May,5/31/2014,2,Second Class,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,$301.96 ,2,0.00%,$33.22 
87,10/27/2014,2014,Oct,11/3/2014,7,Standard Class,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,$19.99 ,1,0.00%,$6.80 
88,10/27/2014,2014,Oct,11/3/2014,7,Standard Class,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,$6.16 ,2,0.00%,$2.96 
89,4/6/2013,2013,Apr,4/11/2013,5,Second Class,Gary Mitchum,Home Office,United States,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,$158.37 ,7,20.00%,$13.86 
90,9/18/2013,2013,Sep,9/23/2013,5,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,$20.10 ,3,0.00%,$6.63 
91,9/18/2013,2013,Sep,9/23/2013,5,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,West,Technology,Phones,Panasonic Kx-TS550,$73.58 ,2,20.00%,$8.28 
92,9/18/2013,2013,Sep,9/23/2013,5,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,$6.48 ,1,0.00%,$3.11 
93,1/31/2012,2012,Jan,2/5/2012,5,Second Class,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,$12.96 ,2,0.00%,$6.22 
94,1/31/2012,2012,Jan,2/5/2012,5,Second Class,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Furniture,Furnishings,Seth Thomas 13 1/2" Wall Clock,$53.34 ,3,0.00%,$16.54 
95,1/31/2012,2012,Jan,2/5/2012,5,Second Class,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,$32.96 ,2,0.00%,$16.15 
96,11/7/2014,2014,Nov,11/13/2014,6,Standard Class,Roger Barcio,Home Office,United States,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,$5.68 ,1,70.00%,($3.79)
97,11/10/2014,2014,Nov,11/12/2014,2,Second Class,Parhena Norris,Home Office,United States,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,$96.53 ,7,0.00%,$40.54 
98,6/18/2014,2014,Jun,6/21/2014,3,First Class,Katherine Ducich,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,$51.31 ,3,20.00%,$17.96 
99,9/7/2013,2013,Sep,9/12/2013,5,Standard Class,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,$77.88 ,6,0.00%,$22.59 
100,8/30/2013,2013,Aug,9/3/2013,4,Standard Class,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,$64.62 ,7,20.00%,$22.62 
101,8/30/2013,2013,Aug,9/3/2013,4,Standard Class,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,$95.98 ,3,20.00%,($10.80)
102,8/30/2013,2013,Aug,9/3/2013,4,Standard Class,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,$1.79 ,3,80.00%,($3.04)
103,12/2/2013,2013,Dec,12/5/2013,3,Second Class,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),$23.92 ,4,0.00%,$11.72 
104,11/13/2012,2012,Nov,11/17/2012,4,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,$238.90 ,6,20.00%,($26.88)
105,11/13/2012,2012,Nov,11/17/2012,4,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",$102.36 ,3,20.00%,($3.84)
106,11/13/2012,2012,Nov,11/17/2012,4,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",$36.88 ,3,70.00%,($25.82)
107,11/24/2014,2014,Nov,11/29/2014,5,Standard Class,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,$74.11 ,8,20.00%,$17.60 
108,11/24/2014,2014,Nov,11/29/2014,5,Standard Class,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Technology,Phones,Speck Products Candyshell Flip Case,$27.99 ,1,20.00%,$2.10 
109,11/24/2014,2014,Nov,11/29/2014,5,Standard Class,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,$3.30 ,1,20.00%,$1.07 
110,10/15/2012,2012,Oct,10/20/2012,5,Standard Class,Pete Armstrong,Home Office,United States,Orland Park,Illinois,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,$339.96 ,5,20.00%,$67.99 
111,12/26/2014,2014,Dec,12/31/2014,5,Standard Class,Cynthia Voltz,Corporate,United States,New York City,New York,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,$41.96 ,2,0.00%,$10.91 
112,11/4/2013,2013,Nov,11/11/2013,7,Standard Class,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",$75.96 ,2,0.00%,$22.79 
113,11/4/2013,2013,Nov,11/11/2013,7,Standard Class,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Binders,Avery Durable Plastic 1" Binders,$27.24 ,6,0.00%,$13.35 
114,8/25/2011,2011,Aug,8/27/2011,2,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",$40.10 ,14,20.00%,$14.53 
115,8/25/2011,2011,Aug,8/27/2011,2,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",$4.72 ,2,20.00%,$1.65 
116,8/25/2011,2011,Aug,8/27/2011,2,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1921,$23.98 ,3,20.00%,$7.49 
117,8/25/2011,2011,Aug,8/27/2011,2,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",$130.46 ,6,20.00%,$44.03 
118,3/2/2012,2012,Mar,3/6/2012,4,Standard Class,Dave Kipp,Consumer,United States,Seattle,Washington,West,Furniture,Tables,Hon Racetrack Conference Tables,$787.53 ,3,0.00%,$165.38 
119,4/5/2012,2012,Apr,4/10/2012,5,Standard Class,Greg Guthrie,Corporate,United States,Bristol,Tennessee,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,$157.79 ,1,70.00%,($115.72)
120,6/13/2013,2013,Jun,6/16/2013,3,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Furniture,Furnishings,Artistic Insta-Plaque,$47.04 ,3,0.00%,$18.35 
121,6/13/2013,2013,Jun,6/16/2013,3,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$30.84 ,4,0.00%,$13.88 
122,6/13/2013,2013,Jun,6/16/2013,3,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",$226.56 ,6,0.00%,$63.44 
